Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.245085912,7.814431719,6.66662183,1.154469392,4.514062033,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,,,,,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,4.649473525,8.149745709,7.788465414,5.618785784,0.542203245,3.303791457,2.838574307,1.463003413,0.041546518,2.208728144,-0.132468704,1.246461733,1.770115807,1.784687569,2.321435854,3.253321681,5.547122593,5.094324232,4.827030278,3.781393478,2.546000641,0.929215383,-1.031491714,2.383195277,2.757493977,4.649741959,9.067673964,3.194787965,4.099081148,1.165787064,11.77027275,5.874302308,6.754385451,6.484810116,5.9178627,6.789935147,1.4280715,3.570737186,,,,,,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.444163231,1.055555806,11.17527022,5.554137643,13.74020497,3.61136841,21.02064872,8.433290483,6.113685182,14.43474127,4.233773052,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,7.9,5.6,0.4,-0.3,-1.2,-6.9,-24.7,3.5,10.4,11.2,7.9,6.804762114,3.239799671,3.012076175,4.220965148,13.82179252,5.24756962,10.87946505,18.26154849,20.7350198,22.59310611,13.81709896,2.412911615,3.407643628,3.91856683,5.188654135,4.059427491,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,5.745635295,2.948596777,1.104938293,-1.25159665,1.780643954,5.637243184,-0.787842637,-1.420039678,9.836548994,-9.575640199,-29.58899767,-7.2,9.6,8.3,13.3,9.1,-10.2,12.7,10.1,7.3,7,2.9,5.7,5.9,5.5,5,5.9,7.7,3.3,3.5,3,1.299987206,1.300052716,
Andean Region,ANR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,12.80456556,8.593693945,1.181978313,9.88696069,8.875903167,4.259922714,-4.269059961,-2.600693547,1.456448636,-0.291533638,0.269713535,-0.477789658,4.477534481,2.060988688,7.709023802,5.570303228,4.169041936,2.888294072,3.467003017,2.715278499,4.534285375,3.621035465,3.450241023,1.399511986,5.179275274,2.336355345,1.904928734,5.485405609,9.01594575,6.184775867,7.219151333,5.766263897,6.33560735,1.665676253,5.339813855,3.173416168,5.658468024,3.034781994,
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,16.52685646,21.43933017,-1.589603283,20.92357308,23.87477488,4.659176679,-6.719316187,-4.745820712,4.016951295,-3.59447653,-14.95813654,3.381981698,-2.61890772,12.33789131,18.32798549,0.860081941,3.344944884,1.261190949,6.89614854,6.687886478,5.798404046,8.190398667,0.291994339,2.902213649,10.85270421,1.399085023,2.433456814,8.800540817,9.566436643,4.855141195,9.837319773,3.184390174,3.191838657,-4.803924578,1.670759558,3.879829306,4.365219161,,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.427842872,-0.852021492,-5.308196829,10.13029763,10.56943335,-0.659726175,3.191996625,4.822500792,9.679525991,3.045643341,5.658131081,1.628416499,2.81175404,5.533804401,-0.028412088,-2.018251533,6.934147763,-4.506124798,10.22276345,4.15176235,-5.689528,-4.957178519,3.875123433,2.211773504,-7.58667719,7.875779831,2.909993136,-2.556904885,-7.496189573,-2.398959224,12.6697101,11.94077473,5.906919494,5.836200697,-2.845209611,5.526689828,8.111046758,3.850178869,-3.385457053,-0.788998922,-4.408839698,-10.89448482,8.837040783,9.029573322,9.198489085,8.363924352,8.002890991,3.102113256,0.050512782,9.136242089,8.554912747,0.946197111,2.951206793,
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998792,5.40000279,6.899998407,5.865400748,3.321079696,7.3,3.3,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800351,13.74920196,6.9,-14.14998864,2.2,4.7,7.2,3.5,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,4.184117769,7.343569495,8.595065955,4.083722931,0.16730111,4.678388681,9.753620268,7.990312429,12.71942295,8.263173738,5.421802293,5.772882431,2.545101843,2.03643903,0.848183727,5.390102213,6.327624895,-4.176822709,6.739561478,4.885845391,4.40767125,4.121605395,5.099898554,-3.120024322,2.895024152,6.584219881,4.912600964,6.114882902,13.53794151,8.89635271,0.059594756,-12.03097082,-7.176709546,-2.005835157,3.312244138,0.648414986,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.350433493,1.27442719,6.215083246,6.975364827,5.978986718,2.36446135,6.29855707,5.091654621,7.051931311,7.166894238,4.006942424,3.910929768,2.597110248,4.100042299,1.333495575,2.587079399,3.608119209,0.897549442,4.053729815,3.051271507,3.356797225,3.323548992,-2.233595072,4.630686334,5.249340696,3.932708183,2.452379429,5.57478871,3.960961676,4.149476632,-0.123380629,0.317637344,4.135493326,4.037922245,3.732680656,3.944948918,3.944925408,4.431611468,5.003020248,3.876572876,1.924360101,3.868593653,3.078796707,4.158102154,3.217877057,2.983896742,3.769035563,3.697628496,1.742734109,1.962772449,2.239286348,3.614841733,2.660168996,
